Size,Lists,Generator,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Merge Sort,Counting Sort,Radix Sort
10,10000000,Random,0.00014ms,0.00020ms,0.00024ms,0.00033ms,0.00024ms,0.00031ms,0.00063ms
10,10000000,Sorted,0.00004ms,0.00009ms,0.00003ms,0.00026ms,0.00016ms,0.00017ms,0.00033ms
10,10000000,ReverseSorted,0.00012ms,0.00011ms,0.00019ms,0.00027ms,0.00016ms,0.00017ms,0.00032ms
10,10000000,NearlySorted,0.00004ms,0.00009ms,0.00003ms,0.00026ms,0.00016ms,0.00017ms,0.00033ms
10,10000000,Flat,0.00014ms,0.00020ms,0.00024ms,0.00033ms,0.00024ms,0.00031ms,0.00063ms
20,1000000,Random,0.00033ms,0.00058ms,0.00095ms,0.00076ms,0.00062ms,0.00053ms,0.00173ms
20,1000000,Sorted,0.00006ms,0.00027ms,0.00005ms,0.00059ms,0.00036ms,0.00025ms,0.00115ms
20,1000000,ReverseSorted,0.00038ms,0.00031ms,0.00072ms,0.00065ms,0.00036ms,0.00025ms,0.00116ms
20,1000000,NearlySorted,0.00012ms,0.00029ms,0.00025ms,0.00062ms,0.00040ms,0.00026ms,0.00117ms
20,1000000,Flat,0.00032ms,0.00057ms,0.00093ms,0.00075ms,0.00061ms,0.00039ms,0.00116ms
50,100000,Random,0.00122ms,0.00246ms,0.00510ms,0.00220ms,0.00198ms,0.00118ms,0.00404ms
50,100000,Sorted,0.00012ms,0.00146ms,0.00008ms,0.00163ms,0.00102ms,0.00047ms,0.00271ms
50,100000,ReverseSorted,0.00194ms,0.00157ms,0.00427ms,0.00181ms,0.00107ms,0.00046ms,0.00269ms
50,100000,NearlySorted,0.00030ms,0.00149ms,0.00151ms,0.00171ms,0.00117ms,0.00049ms,0.00274ms
50,100000,Flat,0.00119ms,0.00239ms,0.00501ms,0.00216ms,0.00195ms,0.00057ms,0.00270ms
100,10000,Random,0.00389ms,0.00772ms,0.01704ms,0.00480ms,0.00447ms,0.00219ms,0.00782ms
100,10000,Sorted,0.00021ms,0.00532ms,0.00014ms,0.00346ms,0.00224ms,0.00085ms,0.00532ms
100,10000,ReverseSorted,0.00683ms,0.00616ms,0.01635ms,0.00390ms,0.00224ms,0.00083ms,0.00526ms
100,10000,NearlySorted,0.00087ms,0.00553ms,0.00653ms,0.00380ms,0.00273ms,0.00087ms,0.00538ms
100,10000,Flat,0.00388ms,0.00761ms,0.01707ms,0.00483ms,0.00448ms,0.00086ms,0.00526ms
1000,1000,Random,0.31316ms,0.53364ms,1.17337ms,0.06499ms,0.06516ms,0.02053ms,0.10385ms
1000,1000,Sorted,0.00192ms,0.49006ms,0.00112ms,0.04352ms,0.03053ms,0.00762ms,0.07789ms
1000,1000,ReverseSorted,0.61913ms,0.54486ms,1.59079ms,0.04786ms,0.03078ms,0.00728ms,0.07776ms
1000,1000,NearlySorted,0.04694ms,0.49400ms,0.65223ms,0.05138ms,0.03842ms,0.00741ms,0.07794ms
1000,1000,Flat,0.31134ms,0.52292ms,1.16460ms,0.07083ms,0.06303ms,0.00616ms,0.05180ms
10000,100,Random,31.06284ms,49.29732ms,112.85870ms,0.82157ms,0.85383ms,0.19132ms,1.31631ms
10000,100,Sorted,0.01894ms,48.83718ms,0.01172ms,0.52657ms,0.39044ms,0.10757ms,1.06964ms
10000,100,ReverseSorted,61.65717ms,53.43289ms,158.84782ms,0.57422ms,0.39103ms,0.10776ms,1.07190ms
10000,100,NearlySorted,3.94218ms,48.82828ms,67.86620ms,0.61316ms,0.48730ms,0.11806ms,1.07260ms
10000,100,Flat,30.69657ms,49.22626ms,112.58684ms,2.08715ms,0.73864ms,0.07019ms,0.53434ms
100000,10,Random,-1.00000ms,-1.00000ms,-1.00000ms,9.82220ms,10.15130ms,0.86445ms,13.15046ms
100000,10,Sorted,-1.00000ms,-1.00000ms,-1.00000ms,5.96294ms,4.65314ms,0.91937ms,13.08098ms
100000,10,ReverseSorted,-1.00000ms,-1.00000ms,-1.00000ms,6.88100ms,4.68835ms,0.81764ms,13.05959ms
100000,10,NearlySorted,-1.00000ms,-1.00000ms,-1.00000ms,6.45242ms,5.44252ms,0.92949ms,13.07933ms
100000,10,Flat,-1.00000ms,-1.00000ms,-1.00000ms,155.39973ms,8.10066ms,0.63069ms,5.23552ms
1000000,1,Random,-1.00000ms,-1.00000ms,-1.00000ms,142.70540ms,116.90510ms,9.49840ms,134.17480ms
1000000,1,Sorted,-1.00000ms,-1.00000ms,-1.00000ms,83.03730ms,55.62000ms,10.07020ms,161.12380ms
1000000,1,ReverseSorted,-1.00000ms,-1.00000ms,-1.00000ms,163.79620ms,55.57000ms,9.82610ms,166.04270ms
1000000,1,NearlySorted,-1.00000ms,-1.00000ms,-1.00000ms,82.45890ms,57.15210ms,10.08310ms,161.25650ms
1000000,1,Flat,-1.00000ms,-1.00000ms,-1.00000ms,-1.00000ms,92.50720ms,8.91070ms,53.72220ms
