Size,Lists,Generator,Insertion Sort,Selection Sort,Bubble Sort,Quick Sort,Merge Sort,Counting Sort,Radix Sort,Heap Sort,Tim Sort
10,10000000,Random,0.00014ms,0.00021ms,0.00025ms,0.00035ms,0.00025ms,0.00033ms,0.00068ms,0.00031ms,0.00015ms
20,1000000,Random,0.00033ms,0.00060ms,0.00095ms,0.00079ms,0.00063ms,0.00055ms,0.00179ms,0.00079ms,0.00034ms
50,100000,Random,0.00127ms,0.00256ms,0.00504ms,0.00230ms,0.00201ms,0.00117ms,0.00405ms,0.00254ms,0.00132ms
100,10000,Random,0.00419ms,0.00810ms,0.01692ms,0.00514ms,0.00463ms,0.00223ms,0.00797ms,0.00587ms,0.00340ms
1000,1000,Random,0.33978ms,0.55771ms,1.18164ms,0.06870ms,0.06638ms,0.02734ms,0.10392ms,0.08462ms,0.05534ms
10000,100,Random,33.22198ms,51.92295ms,113.33548ms,0.86341ms,0.85591ms,0.17504ms,1.33646ms,1.10539ms,0.74701ms
100000,10,Random,3339.53571ms,5135.27199ms,-1.00000ms,10.55132ms,10.48056ms,0.80198ms,12.90480ms,13.74210ms,9.36349ms
1000000,1,Random,-1.00000ms,-1.00000ms,-1.00000ms,275.85930ms,217.57980ms,17.29360ms,247.30770ms,323.99840ms,196.69240ms
10,10000000,Sorted,0.00008ms,0.00016ms,0.00006ms,0.00054ms,0.00030ms,0.00035ms,0.00062ms,0.00046ms,0.00008ms
20,1000000,Sorted,0.00012ms,0.00051ms,0.00009ms,0.00116ms,0.00069ms,0.00047ms,0.00211ms,0.00102ms,0.00011ms
50,100000,Sorted,0.00024ms,0.00274ms,0.00015ms,0.00321ms,0.00190ms,0.00087ms,0.00496ms,0.00296ms,0.00070ms
100,10000,Sorted,0.00041ms,0.01067ms,0.00027ms,0.00685ms,0.00419ms,0.00164ms,0.00959ms,0.00710ms,0.00202ms
1000,1000,Sorted,0.00362ms,0.95210ms,0.00208ms,0.08109ms,0.05599ms,0.01355ms,0.13893ms,0.13392ms,0.03408ms
10000,100,Sorted,0.03713ms,94.42157ms,0.02078ms,0.96808ms,0.69543ms,0.16805ms,1.87968ms,1.62506ms,0.52726ms
100000,10,Sorted,0.35622ms,9443.97336ms,0.18470ms,10.54927ms,8.99423ms,1.68506ms,23.34866ms,19.57556ms,6.81107ms
1000000,1,Sorted,3.54270ms,-1.00000ms,2.36470ms,161.80540ms,107.04070ms,20.36890ms,304.44090ms,237.88410ms,84.11490ms
10,10000000,ReverseSorted,0.00024ms,0.00023ms,0.00036ms,0.00058ms,0.00030ms,0.00033ms,0.00064ms,0.00037ms,0.00020ms
20,1000000,ReverseSorted,0.00071ms,0.00063ms,0.00139ms,0.00132ms,0.00068ms,0.00048ms,0.00216ms,0.00087ms,0.00075ms
50,100000,ReverseSorted,0.00372ms,0.00327ms,0.00812ms,0.00358ms,0.00188ms,0.00086ms,0.00502ms,0.00249ms,0.00268ms
100,10000,ReverseSorted,0.01220ms,0.01157ms,0.02825ms,0.00667ms,0.00384ms,0.00144ms,0.00797ms,0.00528ms,0.00619ms
1000,1000,ReverseSorted,1.25795ms,1.15954ms,3.07942ms,0.09354ms,0.06006ms,0.01417ms,0.13695ms,0.13471ms,0.08838ms
10000,100,ReverseSorted,118.94474ms,108.85277ms,293.27906ms,1.07950ms,0.71035ms,0.13730ms,1.85218ms,1.64585ms,0.95951ms
100000,10,ReverseSorted,-1.00000ms,-1.00000ms,-1.00000ms,12.56361ms,9.13142ms,1.46165ms,23.59141ms,19.98422ms,11.67045ms
1000000,1,ReverseSorted,-1.00000ms,-1.00000ms,-1.00000ms,289.04800ms,106.17430ms,17.45280ms,308.50030ms,241.15930ms,151.45300ms
10,10000000,NearlySorted,0.00008ms,0.00017ms,0.00007ms,0.00056ms,0.00030ms,0.00035ms,0.00065ms,0.00047ms,0.00008ms
20,1000000,NearlySorted,0.00023ms,0.00057ms,0.00047ms,0.00126ms,0.00076ms,0.00053ms,0.00227ms,0.00115ms,0.00023ms
50,100000,NearlySorted,0.00060ms,0.00302ms,0.00291ms,0.00346ms,0.00228ms,0.00096ms,0.00520ms,0.00379ms,0.00107ms
100,10000,NearlySorted,0.00167ms,0.01105ms,0.01240ms,0.00753ms,0.00529ms,0.00169ms,0.00998ms,0.00959ms,0.00308ms
1000,1000,NearlySorted,0.09309ms,0.99117ms,1.24029ms,0.09980ms,0.07405ms,0.01391ms,0.14570ms,0.14841ms,0.05079ms
10000,100,NearlySorted,8.31596ms,101.42477ms,134.81193ms,1.21218ms,0.97722ms,0.15693ms,1.98020ms,1.90284ms,0.74240ms
100000,10,NearlySorted,228.85998ms,-1.00000ms,6347.97711ms,13.41785ms,11.27254ms,1.79664ms,24.63207ms,22.13822ms,8.82356ms
1000000,1,NearlySorted,661.09580ms,-1.00000ms,-1.00000ms,83.55160ms,58.04760ms,11.46160ms,161.46130ms,125.74400ms,48.28760ms
10,10000000,Flat,0.00021ms,0.00030ms,0.00036ms,0.00051ms,0.00037ms,0.00048ms,0.00096ms,0.00044ms,0.00021ms
20,1000000,Flat,0.00054ms,0.00100ms,0.00156ms,0.00130ms,0.00104ms,0.00069ms,0.00195ms,0.00130ms,0.00056ms
50,100000,Flat,0.00125ms,0.00250ms,0.00502ms,0.00230ms,0.00198ms,0.00059ms,0.00275ms,0.00251ms,0.00131ms
100,10000,Flat,0.00413ms,0.00794ms,0.01675ms,0.00511ms,0.00455ms,0.00087ms,0.00531ms,0.00580ms,0.00336ms
1000,1000,Flat,0.33574ms,0.54579ms,1.16995ms,0.07654ms,0.06368ms,0.00608ms,0.05161ms,0.08367ms,0.05121ms
10000,100,Flat,33.04434ms,51.40545ms,113.02851ms,2.07716ms,0.74549ms,0.06019ms,0.52299ms,1.08104ms,0.62361ms
100000,10,Flat,3319.06855ms,5122.56971ms,-1.00000ms,149.63525ms,8.30339ms,0.63630ms,5.19824ms,12.86703ms,7.20217ms
1000000,1,Flat,-1.00000ms,-1.00000ms,-1.00000ms,-1.00000ms,90.42480ms,8.93600ms,53.56020ms,137.20290ms,79.50110ms
